category,date,rating,y_true,y_pred,confidence,error_category,text
Subscription_Boxes,2022-08-03 18:51:07.653,5,positive,negative,0.9999875386731791,very short or context-free review,Not Nancy Sinatra please
Magazine_Subscriptions,2021-09-22 03:43:13.677,5,positive,negative,0.9998164912313419,potential rating-text disagreement / possible label noise candidate,Very disappointed because only primetime listings. Cancelled
Magazine_Subscriptions,2020-01-08 13:31:13.242,1,negative,positive,0.9997424280883712,very short or context-free review,Good
Magazine_Subscriptions,2020-05-01 15:07:51.621,1,negative,positive,0.9997424280883712,very short or context-free review,Good
Magazine_Subscriptions,2019-12-25 12:50:02.963,5,positive,negative,0.9996860262834972,potential rating-text disagreement / possible label noise candidate,Not worth the money ad after ad overpriced items
Magazine_Subscriptions,2020-03-13 01:50:23.814,5,positive,negative,0.9995940579681168,very short or context-free review,Do not renew
Magazine_Subscriptions,2019-10-07 13:22:06.096,1,negative,positive,0.9994911269928238,very short or context-free review,Perfect
Subscription_Boxes,2022-08-25 18:55:05.869,5,positive,negative,0.9988884959804829,very short or context-free review,I had to cancel this.
Magazine_Subscriptions,2023-01-26 07:57:27.127,4,positive,negative,0.9985866643856417,very short or context-free review,Waste of money
Magazine_Subscriptions,2021-04-23 19:04:47.313,2,negative,positive,0.9985009290669382,potential rating-text disagreement / possible label noise candidate,So happy to see the mag. Back! Love it
Magazine_Subscriptions,2022-01-02 14:37:52.406,5,positive,negative,0.9982514044024275,potential rating-text disagreement / possible label noise candidate,Tried to cancel but not able!!! Thought I’d ordered 1 copy. What a scam & absurdly overpriced!!!
Magazine_Subscriptions,2020-08-08 23:00:34.539,4,positive,negative,0.9981710121796058,very short or context-free review,Wouldnt recommend
Magazine_Subscriptions,2020-02-11 23:55:10.510,1,negative,positive,0.9978941169557201,potential rating-text disagreement / possible label noise candidate,I love this magazine.....and would love it even more if I'd get it ...so far only one...
Magazine_Subscriptions,2020-02-11 23:57:05.114,1,negative,positive,0.9974833542665782,potential rating-text disagreement / possible label noise candidate,Would love it more if I'd get a delivery!
Magazine_Subscriptions,2019-10-16 21:50:29.607,1,negative,positive,0.9971174949259201,potential rating-text disagreement / possible label noise candidate,The information is excellent and very educational.
Magazine_Subscriptions,2019-10-16 21:50:29.607,1,negative,positive,0.9971174949259201,potential rating-text disagreement / possible label noise candidate,The information is excellent and very educational.
Magazine_Subscriptions,2020-11-10 21:49:00.886,4,positive,negative,0.9966590014429756,potential rating-text disagreement / possible label noise candidate,"I wanted some ""vintage"" images for junk journaling.  The magazine is from such poor quality paper, even the print of it is ""old"" in a bad way.  The stories and recipes are still worth reading, but I was hoping to have a little more quality in the prints of photos, etc.  Will not be renewing."
Magazine_Subscriptions,2019-10-09 18:49:41.498,4,positive,negative,0.9958039786604626,very short or context-free review,Wouldn't keep buying it.
Magazine_Subscriptions,2021-01-23 07:30:03.424,5,positive,negative,0.9957646329719266,potential rating-text disagreement / possible label noise candidate,Did not receive the right amount of issues I was suppose to get on both subscriptions..very disappointed...
Magazine_Subscriptions,2023-02-14 03:43:16.579,4,positive,negative,0.995748836321404,mixed sentiment,I have enjoyed the magazine but want to stop the subscription.  Amazon has not allowed me to cancel my subscription even being sent to India for customer service still unable to stop it
Magazine_Subscriptions,2023-01-15 00:25:27.507,4,positive,negative,0.99570545255456,mixed sentiment,"Beautiful photography, stylized graphic design,  amd high quality paper have made Veranda a favorite of mine for many years. Unfortunately, the magazine is no longer delivered to my mailbox. Instead it comes via a delivery service that throws it on the sidewalk in front of my house. In the last year, I have only received 2 issues. Either they were not delivered or someone picked them up off the sidewalk. Sadly, I am cancelling my subscription due to not receiving what I paid for."
Magazine_Subscriptions,2019-11-23 19:05:21.274,5,positive,negative,0.9951306058745585,very short or context-free review,To many ads
Magazine_Subscriptions,2021-04-09 20:04:56.635,4,positive,negative,0.9951306058745585,very short or context-free review,Too many ads
Magazine_Subscriptions,2020-01-10 19:49:57.947,4,positive,negative,0.9951306058745585,very short or context-free review,Too many ads
Magazine_Subscriptions,2020-05-27 01:29:59.135,4,positive,negative,0.9950197711333405,very short or context-free review,not worth money
Magazine_Subscriptions,2019-10-24 11:25:58.700,4,positive,negative,0.9947490938036485,mixed sentiment,"I just read the reviews and must say I am extremely disappointed.  The magazine, itself, remains a good experience for a child.  However, the scams appear to be a nightmare for the actual subscriber.  Unfortunately, I will not be ordering Highlights for my grandchild.  Very sad."
Magazine_Subscriptions,2022-07-20 00:06:38.546,4,positive,negative,0.9944950148304907,potential rating-text disagreement / possible label noise candidate,Have no idea how to cancel it.
Subscription_Boxes,2022-01-13 23:24:34.327,4,positive,negative,0.9944321408151958,potential rating-text disagreement / possible label noise candidate,"Too Thin of a T-Shirt, not really worth the Money!"
Magazine_Subscriptions,2020-10-06 12:22:03.835,5,positive,negative,0.9943118818721616,potential rating-text disagreement / possible label noise candidate,Order for my BIL - not something I would bother with
Magazine_Subscriptions,2020-07-16 02:44:36.399,1,negative,positive,0.9942900492925686,probable genuine model error,I was really looking forward to it.
