rating,y_true,y_pred,confidence,text
5,positive,negative,0.999820157102003,Very disappointed because only primetime listings. Cancelled
5,positive,negative,0.9994823788339235,I had to cancel this.
4,positive,negative,0.9983272656936505,Waste of money
1,negative,positive,0.9968426062131587,Perfect
5,positive,negative,0.9962893936961215,Not worth the money ad after ad overpriced items
5,positive,negative,0.9960791790934638,Tried to cancel but not able!!! Thought I’d ordered 1 copy. What a scam & absurdly overpriced!!!
5,positive,negative,0.9960451605745115,To many ads
4,positive,negative,0.9960451605745115,Too many ads
4,positive,negative,0.9960451605745115,Too many ads
1,negative,positive,0.9959856479660126,I love this magazine.....and would love it even more if I'd get it ...so far only one...
1,negative,positive,0.9938128942925254,Would love it more if I'd get a delivery!
1,negative,positive,0.993636896475554,The information is excellent and very educational.
1,negative,positive,0.993636896475554,The information is excellent and very educational.
5,positive,negative,0.9936239110599591,"Thought it was going to be about birds and it wasn’t, disappointed canceled magazines"
4,positive,negative,0.9935902642206677,Have no idea how to cancel it.
5,positive,negative,0.9930755884292933,I would like to cancel my subscription.
4,positive,negative,0.9921522442746912,"I just read the reviews and must say I am extremely disappointed.  The magazine, itself, remains a good experience for a child.  However, the scams appear to be a nightmare for the actual subscriber.  Unfortunately, I will not be ordering Highlights for my grandchild.  Very sad."
5,positive,negative,0.9910423130265831,I don’t need anymore and want to cancel the subscription. Help!
5,positive,negative,0.9909138622469535,Mostly advertisements
2,negative,positive,0.9902185901506237,So happy to see the mag. Back! Love it
4,positive,negative,0.989804456007336,"I miss when Funko did this, I think the quality and variety were better. I have actually canceled my subscription because it's been plain and boring."
5,positive,negative,0.9892657418946234,"I opted to cancel my subscription last year but it did not stop, it showed it was cancelled but still came out of my account.  I’m having terrible eye  problems & cant read it any longer so please help me cancel my subscription.  I have not renewed any of my magazines because of my eye problem."
1,negative,positive,0.9882116237864581,I was really looking forward to it.
5,positive,negative,0.9881571715505806,I dislike this item because you all make it so hard to cancel. So you think you folks can do it or tell me where to go to cancel it<br /><br />Thank You
4,positive,negative,0.9881383798102652,"I wanted some ""vintage"" images for junk journaling.  The magazine is from such poor quality paper, even the print of it is ""old"" in a bad way.  The stories and recipes are still worth reading, but I was hoping to have a little more quality in the prints of photos, etc.  Will not be renewing."
