y_true,y_pred,confidence,text,rating,category,review_length,correct,has_contrastive_marker,has_mixed_lexical_cues
neutral,neutral,0.5851567548123204,"It’s ok, I had higher expectations because my mother used to get this and I read every single word as an avid teenage reader. It’s not quite that interesting to me now. But not awful.",3,Magazine_Subscriptions,35,True,True,False
neutral,neutral,0.4307633385206469,Magazine is great. Unfortunately Amazon’s auto renewal subscription is slow and you miss a week of the magazine during renewal.,3,Magazine_Subscriptions,20,True,False,False
neutral,neutral,0.4871230162666812,"My mom enjoys the magazine, but it took way too long to receive the first issue.  Gift subscription given to her in mid-June. First issue did not arrive until mid-September!",3,Magazine_Subscriptions,30,True,True,False
neutral,neutral,0.833993007720037,Ok,3,Magazine_Subscriptions,1,True,False,False
neutral,positive,0.5093311756982141,"Now that I ""get"" most of the jokes, I find that adulthood is less funny than I'd expected.",3,Magazine_Subscriptions,18,False,False,False
neutral,neutral,0.48804651020149115,"I offer criticism with a couple of caveats. In their relentless search to simplify, shorten and clarify recipes they create more problems and greater mess. Generations of cooks have tweaked things to their liking; using Cooks illustrated their efforts and work are discarded. They also seem to think people are taste blind to subtleties- using artificial vanilla and huge amounts of sugar is going to be noticed.  The wheel is not broken and does not to be reinvented or fixed.<br />Needless to say when the recipes work they’re very good. The perfect chocolate chip recipe is excellent. Croissants are good.  Pie crust recipes are interesting.",3,Magazine_Subscriptions,105,True,False,True
neutral,neutral,0.6341075174679769,The majority of this periodical is a price guide. I was hoping for more articles.,3,Magazine_Subscriptions,15,True,False,False
neutral,neutral,0.7571855184712226,"Arrived much earlier than projected. As others have noted there are many ads, not much indepth content. It's mostly fluffy, easy reads. It lacks in fitness tips etc. Not sure I will renew.",3,Magazine_Subscriptions,33,True,False,False
neutral,negative,0.6160061421545086,I cancelled this subscription long ago and it keeps coming.,3,Magazine_Subscriptions,10,False,False,False
neutral,positive,0.4755070646614826,Gave as a gift,3,Magazine_Subscriptions,4,False,False,False
neutral,neutral,0.5468111946449123,Good pictures but a bit small of a mag,3,Magazine_Subscriptions,9,True,True,False
neutral,neutral,0.5517691673985006,Not as good as used to be,3,Magazine_Subscriptions,7,True,False,True
neutral,neutral,0.4582357428883905,"It is unlike the old popular mechanics , the subject her is not in-depth<br />Which doesn’t met my acceptation",3,Magazine_Subscriptions,19,True,False,False
neutral,negative,0.6267296858421594,Received no other comments,3,Magazine_Subscriptions,4,False,False,False
neutral,negative,0.7734965843004125,This was a gift for 1 year.So far the person has only received 2 issues  out of 4.and it expires in December. Not happy!!!,3,Magazine_Subscriptions,24,False,False,False
neutral,neutral,0.4004039028304188,Be careful if you order this as they will have a discounted price but will renew you at higher price automatically.,3,Magazine_Subscriptions,21,True,True,False
neutral,neutral,0.3906633159962117,Nothing earth shattering but decent short reads.,3,Magazine_Subscriptions,7,True,True,False
neutral,positive,0.5281187952391639,This is mailed to me about a month after the new copy is released in the grocery store.,3,Magazine_Subscriptions,18,False,False,False
neutral,negative,0.6736666224208828,Not the old size 😠,3,Magazine_Subscriptions,5,False,False,False
neutral,positive,0.575608690134245,Didn’t love content,3,Magazine_Subscriptions,3,False,False,False
neutral,positive,0.5217241088763175,They need to write more about fine home building and less about green homes,3,Magazine_Subscriptions,14,False,False,False
neutral,negative,0.5400299076743843,"The magazine itself is fine. I love Ree. However, I am dropping my subscription after it runs out. I subscribed for 2 years and within a month, I was receiving notifications for renewal. I get something every month, be it from them or someone they have sold my info too. I am constantly having to look to see how long my subscriptions (it's not just this magazine, it's all the others too).<br /><br />Now they automatically renew your subscription unless you tell them to stop. I had a heck of a time with People magazine with this issue.<br /><br />This was a huge problem for my mom. She kept paying these notices when she received them. It is confusing, especially for the elderly (or at least my mom).<br /><br />I am going to start buying the Christmas ones in the store. That's really the only ones I want anyway. It's too bad they have to hound you to death over these things.",3,Magazine_Subscriptions,162,False,False,True
neutral,negative,0.36710690040981264,The magazine is perfect.  It just took so long to come . I forgot i ordered it.,3,Magazine_Subscriptions,17,False,False,False
neutral,neutral,0.5661280058518121,"My kid loves the magazine. However, 3 stars are for the inconsistent shipping timing. We didn't get one a month, the shipping timing seems almost ki d of random.",3,Magazine_Subscriptions,29,True,False,False
neutral,neutral,0.8598005944121933,Not like it use to be. Seems to overview articals and lots more ads.<br />Guess I am a old Boomer who likes to read the early 1900s issues.,3,Magazine_Subscriptions,28,True,False,False
neutral,neutral,0.6389132345866796,There are way to many advertisements in this magazine and not much of anything else was pretty disappointed I enjoy the Pioneer Woman cooking show and was hoping to like this also.,3,Magazine_Subscriptions,32,True,False,True
neutral,neutral,0.5301127840682721,"I like a lot of the content NR publishes. It tends to be thought out and supported whether or not I agree with it, and I think it's good to support the continuing publication of such perspectives.  (Although I find their ""humor"" to be pretty lame.)  In a sense, this is one of the true ""alternative"" magazines today.<br /><br />Thing is, with today's short news and conversation cycles by the time I get it, the news items are aging and I've already seen most of their ""takes"" on line.  So I'm not getting a lot out of receiving a print edition.  The problem is not unique to NR.  I will probably not renew and cut down on the paper recycling.",3,Magazine_Subscriptions,120,True,False,True
neutral,neutral,0.5326583246959421,Ordered thinking it was a different magazine.  It didn't hold my interest for long.,3,Magazine_Subscriptions,14,True,False,False
neutral,positive,0.6300709482175275,Lovely pictures.,3,Magazine_Subscriptions,2,False,False,False
neutral,neutral,0.49059728188420276,"Weird magazine!! Ads and stories from people about where they have seen airstreams. I thought it would be helpful. How to renovate an airstream, where to take it once you’ve got it etc.... all it is is advertisements and maybe one good story about someone who has encountered an airstream.",3,Magazine_Subscriptions,50,True,False,False
neutral,neutral,0.833993007720037,Ok,3,Magazine_Subscriptions,1,True,False,False
neutral,neutral,0.41778414963113314,"unit really strong enough to ""sweep"" hard surfaces of debris. Does poor job on yards",3,Magazine_Subscriptions,15,True,False,False
neutral,neutral,0.6070948131088143,Took a long time and wasnt a full subscription,3,Magazine_Subscriptions,9,True,False,False
neutral,neutral,0.48574744056573144,"Good photos and pictures, I like seeing the cool ideas for architecture and design. Problem is that the magazine falls apart, maybe they are using super eco friendly glue or something, but every issue falls to pieces so they get thrown away instead of kept as a table accent piece or for reference.",3,Magazine_Subscriptions,53,True,True,False
neutral,positive,0.7425782301884887,Great magazine for the dabbler and curious science citizen.,3,Magazine_Subscriptions,9,False,False,False
neutral,neutral,0.7042988314989372,I was not that impressed with this mag.  It seems like it more add for camping world than anything else.,3,Magazine_Subscriptions,20,True,False,False
neutral,neutral,0.8683337812504962,"Kinda fun, but overall pretty disappointing. At least for their age recommendations. I say stick with Babybug until 4 years old. Not sure why they sized up to a traditional magazine size for 3-6 year olds either? My kiddo much prefers things sized for her and would like these much more if even if they were a size in between their current size and the Babybug size. So yeah, meh in content and overall delivery of this. I will not be re-upping and look for a better monthly subscription.",3,Magazine_Subscriptions,89,True,True,False
neutral,negative,0.6022508097711273,"As a subscriber for many years, I can definitely say is is not as good as it used to be.  Reviews are shorter. Smaller and fewer photos in the articles but more advertisements.  I really miss the old columnists from 10 years ago.",3,Magazine_Subscriptions,43,False,True,True
neutral,neutral,0.47346091697096315,"The magazine has some decent articles, but if you are looking for recipes that are functional in a day to day basis, then this is not your type of magazine. It does have some decent ideas for healthy eating, but there is too much fluff articles for it to be useful. Also, the layouts with the recipes can be confusing at times.",3,Magazine_Subscriptions,62,True,True,False
neutral,negative,0.6051477630569584,This magazine has become more ads than actual travel-related content.,3,Magazine_Subscriptions,10,False,False,False
neutral,negative,0.6418498509597602,I canceled my subscription.  This magazine is to materialistic for me. The articles are very informative but after a while it is the same thing.,3,Magazine_Subscriptions,25,False,True,False
neutral,neutral,0.4283176559670511,This is a great motivational magazine. I look forward to it every month. I enjoyed it the first 5 months it arrived. Then starting in October it stopped coming. I no longer received that great motivation. I gained 10 pounds without that constant motivation. They were not pounds of muscle. I miss my motivation and hope I get my back issues soon.,3,Magazine_Subscriptions,62,True,False,True
neutral,neutral,0.38303529916011514,A very needed Crochet magazine,3,Magazine_Subscriptions,5,True,False,False
neutral,positive,0.6004888349359986,An intriguing Crochet Magazine with fun pictures.,3,Magazine_Subscriptions,7,False,False,False
neutral,positive,0.6126390680492265,Terrific Crochet Magazine,3,Magazine_Subscriptions,3,False,False,False
neutral,neutral,0.833993007720037,Its ok,3,Magazine_Subscriptions,2,True,False,False
neutral,neutral,0.5037225814287318,The articles just don’t seem as good as they use to. The printing quality of the words and photography is not good.,3,Magazine_Subscriptions,22,True,False,True
